X,Y,1th,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
0.75,0.42857142857142855,0.2,0.6666666666666666,0.8709677419354839,0.0864920744314266,0.10132520229858097,0.0909090909090909,0.19292604501607716,0.4235294117647059,0.7,0.0,0.0
0.75,0.2857142857142857,0.9,0.16666666666666666,0.9277419354838708,0.11819434872501722,0.7754192564794183,0.11942959001782531,0.5080385852090032,0.21176470588235294,0.05555555555555555,0.0,0.0
0.75,0.2857142857142857,0.9,0.8333333333333334,0.9277419354838708,0.14679531357684356,0.7962941245455611,0.11942959001782531,0.39871382636655944,0.21176470588235294,0.1,0.0,0.0
0.875,0.5714285714285714,0.2,0.6666666666666666,0.9419354838709677,0.11095796002756718,0.08162307962941244,0.16042780748663102,0.1961414790996785,0.9647058823529412,0.4,0.03125,0.0
0.875,0.5714285714285714,0.2,1.0,0.9109677419354838,0.1729841488628532,0.11058989093467807,0.1711229946524064,0.2958199356913183,0.9882352941176471,0.15555555555555556,0.0,0.0
0.875,0.5714285714285714,0.7,1.0,0.9496774193548386,0.290144727773949,0.5630350650873696,0.2620320855614973,0.6430868167202572,0.16470588235294117,0.5555555555555556,0.0,0.0
0.875,0.5714285714285714,0.7,0.0,0.9496774193548386,0.30254996554100627,0.5719479301043744,0.15151515151515152,0.7041800643086817,0.1411764705882353,0.30000000000000004,0.0,0.0
0.875,0.5714285714285714,0.7,0.0,0.9393548387096774,0.4972432804962096,0.7039990618036824,0.1907308377896613,0.1864951768488746,0.8352941176470589,0.20000000000000004,0.0,0.0
0.875,0.5714285714285714,0.8,0.16666666666666666,0.9329032258064516,0.44245348035837356,0.8029787733083148,0.12477718360071301,0.3504823151125402,0.5647058823529412,0.5555555555555556,0.0,0.0
0.75,0.42857142857142855,0.8,0.8333333333333334,0.952258064516129,0.2994486560992419,0.8100152456901607,0.1265597147950089,0.662379421221865,0.29411764705882354,0.4,0.0,0.0
0.75,0.42857142857142855,0.8,0.8333333333333334,0.952258064516129,0.2994486560992419,0.8100152456901607,0.1265597147950089,0.5016077170418007,0.4235294117647059,0.7555555555555555,0.0,0.0
0.75,0.42857142857142855,0.8,0.8333333333333334,0.9561290322580644,0.24844934527911788,0.8269027794065908,0.4028520499108735,0.54983922829582,0.27058823529411763,0.4,0.0,0.0
0.625,0.42857142857142855,0.7,0.6666666666666666,0.5780645161290322,0.2401791867677464,0.7709628239709159,0.014260249554367202,0.47588424437299043,0.6705882352941176,0.7,0.0,0.0
0.625,0.42857142857142855,0.8,0.0,0.9316129032258065,0.43211578221915925,0.7958250263867714,0.12477718360071301,0.6141479099678457,0.3176470588235294,0.20000000000000004,0.0,0.0
0.625,0.42857142857142855,0.8,0.3333333333333333,0.9574193548387098,0.45554789800137846,0.811187991087135,0.1639928698752228,0.7781350482315113,0.07058823529411765,0.4555555555555555,0.0,0.0
0.625,0.42857142857142855,0.8,0.6666666666666666,0.9625806451612903,0.4827705031013094,0.8279582502638677,0.24777183600713013,0.6655948553054662,0.3411764705882353,0.5555555555555556,0.0,0.0
0.5,0.42857142857142855,0.2,0.8333333333333334,0.9419354838709677,0.11957270847691247,0.08549313943942768,0.13903743315508021,0.4147909967845659,0.1411764705882353,0.5555555555555556,0.0,0.0
0.875,0.42857142857142855,0.9,0.0,0.8541935483870968,0.10923501033769813,0.7696728040342442,0.053475935828877004,0.4662379421221865,0.3764705882352941,0.5,0.0,0.0
0.625,0.2857142857142857,0.2,0.3333333333333333,0.9096774193548387,0.09235010337698138,0.07376568546968452,0.1122994652406417,0.4405144694533762,0.23529411764705882,0.4,0.0,0.0
